"Area" "Mean" "StdDev" "Mode" "Min" "Max" "X" "Y" "XM" "YM" "Perim" "BX" "BY" "Width" "Height" "Major" "Minor" "Angle" "Circ" "Feret" "IntDen" "Median" "RawIntDen" "FeretX" "FeretY" "FeretAngle" "MinFeret" "AR" "Round" "Solidity" "Type"
"143" 39 26534.564 19560.087 65504 11968 65504 3709.756 1054.064 3710.073 1054.21 24.385 3706 1050 7 8 7.939 6.255 86.659 0.824 8.602 1034848 17920 1034848 3707 1051 125.538 6.957 1.269 0.788 0.821 "Positif"
"144" 74 26706.162 18762.48 65504 11648 65504 4108.757 1057.689 4109.091 1058.303 37.698 4104 1051 9 13 11.898 7.919 79.517 0.654 13.038 1976256 17552 1976256 4108 1051 94.399 8.974 1.502 0.666 0.796 "Positif"
"145" 78 30253.949 19705.267 65504 11600 65504 4131.795 1057.346 4132.07 1057.935 36.042 4127 1052 9 11 11.38 8.727 93.12 0.755 12.53 2359808 21744 2359808 4128 1052 118.61 9 1.304 0.767 0.886 "Positif"
"146" 59 26476.475 17435.383 65504 11568 65504 4170.72 1057.602 4170.977 1057.872 34.284 4167 1052 8 11 10.327 7.274 103.975 0.631 11.705 1562112 20096 1562112 4169 1052 109.983 8 1.42 0.704 0.808 "Positif"
"147" 20 20064 10049.272 11840 11840 43824 3704 1062.05 3703.904 1062.102 18.142 3702 1058 5 7 6.067 4.197 104.246 0.764 7.28 401280 14448 401280 3703 1058 105.945 5 1.445 0.692 0.784 "Positif"
"148" 236 29344.475 19903.468 65504 11584 65504 4051.911 1071.911 4052.193 1072.665 91.539 4044 1059 15 26 24.258 12.387 97.855 0.354 26.173 6925296 18672 6925296 4051 1059 96.582 13.416 1.958 0.511 0.792 "Positif"
"149" 83 28923.952 20284.006 65504 11696 65504 4182.97 1065.199 4183.396 1065.602 47.598 4177 1059 11 14 11.613 9.1 80.579 0.46 14.56 2400688 18720 2400688 4181 1073 74.055 10.752 1.276 0.784 0.731 "Positif"
"150" 91 27790.418 19383.557 65504 11568 65504 3482.72 1068.665 3483.135 1068.961 43.355 3476 1062 12 13 11.896 9.74 80 0.608 13.928 2528928 17808 2528928 3480 1075 68.962 11.276 1.221 0.819 0.781 "Positif"
"151" 101 29844.752 20331.999 65504 11680 65504 3735.114 1083.025 3735.614 1083.641 54.426 3728 1075 13 15 12.738 10.095 81.525 0.428 15.297 3014320 18608 3014320 3734 1090 78.69 11.926 1.262 0.793 0.751 "Positif"
"152" 88 28541.636 19579.076 65504 11712 65504 3758.114 1085.17 3758.516 1085.746 39.698 3753 1078 10 13 12.285 9.121 89.824 0.702 13.601 2511664 18160 2511664 3757 1078 107.103 9.944 1.347 0.742 0.838 "Positif"
